seq	cluster
HEV-3b_LC406562.1	cluster0
HEV-3b_LC406580.1	cluster0
HEV-3k_LC406662.1	cluster0
HEV-3b_LC406505.1	cluster0
HEV-3b_LC406522.1	cluster0
HEV-3b_LC406524.1	cluster0
HEV-3b_LC406575.1	cluster0
HEV-3b_LC406587.1	cluster0
HEV-3b_LC406643.1	cluster0
HEV-3b_LC406647.1	cluster0
HEV-3b_AB091394.1	cluster0
HEV-3b_LC406546.1	cluster0
HEV-3b_LC406560.1	cluster0
HEV-3b_LC406601.1	cluster0
HEV-3b_LC406626.1	cluster0
HEV-3b_LC406627.1	cluster0
HEV-3b_LC406636.1	cluster0
HEV-3b_LC406578.1	cluster0
HEV-3b_LC406579.1	cluster0
HEV-3b_LC406637.1	cluster0
HEV-3b_LC406654.1	cluster0
HEV-3b_AB369691.1	cluster0
HEV-3b_LC406533.1	cluster0
HEV-3b_LC406535.1	cluster0
HEV-3b_LC406572.1	cluster0
HEV-3m_LC406481.1	cluster0
HEV-3b_AB291951.1	cluster0
HEV-3b_AB291952.1	cluster0
HEV-3b_AB291953.1	cluster0
HEV-3b_AB291954.1	cluster0
HEV-3b_AB291955.1	cluster0
HEV-3b_AB291956.1	cluster0
HEV-3b_AB291957.1	cluster0
HEV-3b_LC406523.1	cluster0
HEV-3b_LC406542.1	cluster0
HEV-3k_AB369689.1	cluster0
HEV-3a_LC406639.1	cluster0
HEV-3b_LC406531.1	cluster0
HEV-3b_LC406615.1	cluster0
HEV-3b_LC406645.1	cluster0
HEV-3a_LC406517.1	cluster0
HEV-3b_AB443623.1	cluster0
HEV-3b_AB443624.1	cluster0
HEV-3b_AB443625.1	cluster0
HEV-3b_AB443626.1	cluster0
HEV-3b_AB443627.1	cluster0
HEV-3a_LC406501.1	cluster0
HEV-3b_LC406497.1	cluster0
HEV-3a_AF082843.1	cluster0
HEV-3a_MH504130.1	cluster0
HEV-3a_AF060668.1	cluster0
HEV-3a_OK340739.1	cluster0
HEV-3g_LC406539.1	cluster0
HEV-3a_MW355225.1	cluster0
HEV-3b_LC406648.1	cluster0
HEV-3b_AB189072.1	cluster0
HEV-3b_AB189073.1	cluster0
HEV-3b_AB189074.1	cluster0
HEV-3b_AB189075.1	cluster0
HEV-3a_LC406474.1	cluster0
HEV-3k_LC406561.1	cluster0
HEV-3a_LC406508.1	cluster0
HEV-3a_LC406553.1	cluster0
HEV-3a_LC406569.1	cluster0
HEV-3b_LC406657.1	cluster0
HEV-3a_KF303502.2	cluster0
HEV-3a_LC406610.1	cluster0
HEV-3b_LC406555.1	cluster0
HEV-3a_LC406644.1	cluster0
HEV-3a_LC406600.1	cluster0
HEV-3b_LC406585.1	cluster0
HEV-3b_LC406492.1	cluster0
HEV-3a_LC406541.1	cluster0
HEV-3a_LC406603.1	cluster0
HEV-3k_LC406635.1	cluster0
HEV-3b_LC406526.1	cluster0
HEV-3b_LC406646.1	cluster0
HEV-3b_LC406629.1	cluster0
HEV-3b_LC406658.1	cluster0
HEV-3f2b_MF444058.1	cluster1
HEV-3f1a_MN646693.1	cluster1
HEV-3f1b_MW355266.1	cluster1
HEV-3f1a_KT591534.1	cluster1
HEV-3f2b_MW355340.1	cluster1
HEV-3f1a_KC166971.1	cluster1
HEV-3f1a_MW355285.1	cluster1
HEV-3f2b_MW355342.1	cluster1
HEV-3f2b_MF444034.1	cluster1
HEV-3f2b_MW355301.1	cluster1
HEV-3f2b_MW355331.1	cluster1
HEV-3f1a_MF444119.1	cluster1
HEV-3f2b_MF444054.1	cluster1
HEV-3e_MN646691.1	cluster1
HEV-3e_MN646690.1	cluster1
HEV-3f1a_MN646695.1	cluster1
HEV-3f2b_LC055972.1	cluster1
HEV-3f2b_MF444088.1	cluster1
HEV-3f2b_MW355289.1	cluster1
HEV-3f2b_AB850879.1	cluster1
HEV-3f2b_MW355247.1	cluster1
HEV-3f2b_MF444138.1	cluster1
HEV-3f2b_MW355274.1	cluster1
HEV-3f2b_MH184581.1	cluster1
HEV-3f2b_MF444123.1	cluster1
HEV-3f2b_MW355242.1	cluster1
HEV-3f2b_MW355318.1	cluster1
HEV-3f2b_MW355219.1	cluster1
HEV-3f2b_MW355329.1	cluster1
HEV-3f2b_MW355349.1	cluster1
HEV-3f2b_MW355253.1	cluster1
HEV-3f2b_MW355257.1	cluster1
HEV-3f2b_MW355260.1	cluster1
HEV-3f2b_MW355276.1	cluster1
HEV-3f2b_EU495148.1	cluster1
HEV-3f2b_MW355351.1	cluster1
HEV-3f2b_MF444027.1	cluster1
HEV-3f2b_MW355228.1	cluster1
HEV-3f2b_MW355248.1	cluster1
HEV-3f2b_MW355381.1	cluster1
HEV-3f2b_MF444055.1	cluster1
HEV-3f2b_MW355355.1	cluster1
HEV-3f2b_JN906976.1	cluster1
HEV-3f2b_KT581448.1	cluster1
HEV-3f2b_MW355296.1	cluster1
HEV-3f2b_MF444050.1	cluster1
HEV-3f1a_MN646692.1	cluster1
HEV-3f2b_KC166970.1	cluster1
HEV-3f2b_MW383253.1	cluster1
HEV-3f2b_KC166968.1	cluster1
HEV-3f2b_KC166969.1	cluster1
HEV-3f2b_MF444090.1	cluster1
HEV-3f2b_MW355230.1	cluster1
HEV-3f1a_MF444083.1	cluster1
HEV-3f2b_MH184580.1	cluster1
HEV-3f2b_MF444105.1	cluster1
HEV-3f2b_MF444134.1	cluster1
HEV-3f2b_MF444137.1	cluster1
HEV-3f1a_MN646689.1	cluster1
HEV-3f2b_MF444096.1	cluster1
HEV-3f1a_MN646696.1	cluster1
HEV-3f2b_KC166967.1	cluster1
HEV-3f2b_LC055973.1	cluster1
HEV-3f2b_LC164712.1	cluster1
HEV-3f2b_MF444112.1	cluster1
HEV-3f2b_MW355238.1	cluster1
HEV-3f2b_MW355388.1	cluster1
HEV-3f2b_EU723514.2	cluster1
HEV-3f2b_MF444045.1	cluster1
HEV-3f2b_MF444132.1	cluster1
HEV-3f2b_MF444047.1	cluster1
HEV-3f2b_MF444124.1	cluster1
HEV-3f2b_MF444087.1	cluster1
HEV-3f2b_MF444073.1	cluster1
HEV-3f2b_MF444094.1	cluster1
HEV-3f2b_MW355375.1	cluster1
HEV-3f1a_MW355352.1	cluster1
HEV-3e_MH377724.1	cluster1
HEV-3f1a_MH377726.1	cluster1
HEV-3f1a_MW355291.1	cluster1
HEV-3f2b_MW355339.1	cluster1
HEV-3f2b_MF444038.1	cluster1
HEV-3f2b_MF444139.1	cluster1
HEV-3f2a_MH377725.1	cluster1
HEV-3f2b_MF444048.1	cluster1
HEV-3f2b_MF444117.1	cluster1
HEV-3f2b_MW355249.1	cluster1
HEV-3f2b_MF444140.1	cluster1
HEV-3f2b_MW355255.1	cluster1
HEV-3f2b_MF444069.1	cluster1
HEV-3f2b_MF444095.1	cluster1
HEV-3f2b_MW355348.1	cluster1
HEV-3f2b_MW355356.1	cluster1
HEV-3f1a_MF444033.1	cluster1
HEV-3f2b_MF444092.1	cluster1
HEV-3f2b_MF444108.1	cluster1
HEV-3f2b_MF444041.1	cluster1
HEV-3e_AB248520.1	cluster1
HEV-3f2b_MF444098.1	cluster1
HEV-3f2b_MW355394.1	cluster1
HEV-3f2b_EU723515.1	cluster1
HEV-3f2b_EU723516.1	cluster1
HEV-3f2b_MF444066.1	cluster1
HEV-3f2b_MF444068.1	cluster1
HEV-3f2b_MW355376.1	cluster1
HEV-3f1a_MW355371.1	cluster1
HEV-3f2b_MF444036.1	cluster1
HEV-3f2b_MF444127.1	cluster1
HEV-3f2b_MF444103.1	cluster1
HEV-3f2b_MF444057.1	cluster1
HEV-3f2b_MF444078.1	cluster1
HEV-3f2b_MF444133.1	cluster1
HEV-3f2b_MW355292.1	cluster1
HEV-3f2b_MW355299.1	cluster1
HEV-3f2b_MW355310.1	cluster1
HEV-3f2b_MF444076.1	cluster1
HEV-3f2b_MF444082.1	cluster1
HEV-3f2b_MF444035.1	cluster1
HEV-3f2b_MF444059.1	cluster1
HEV-3f1a_MW355306.1	cluster1
HEV-3f2b_MF444084.1	cluster1
HEV-3f2b_MF444125.1	cluster1
HEV-3f1a_MF444107.1	cluster1
HEV-3f2b_MW355336.1	cluster1
HEV-3f2b_MF444097.1	cluster1
HEV-3f2b_MF444142.1	cluster1
HEV-3f2b_MW355265.1	cluster1
HEV-3f2b_MW355326.1	cluster1
HEV-3f2b_MW355358.1	cluster1
HEV-3f2b_JN906974.1	cluster1
HEV-3f1a_MF444102.1	cluster1
HEV-3f2b_JN906975.1	cluster1
HEV-3f2b_MF444070.1	cluster1
HEV-3f2b_MW355322.1	cluster1
HEV-3f2a_EU360977.1	cluster1
HEV-3f2a_KT447527.1	cluster1
HEV-3f2b_MF444051.1	cluster1
HEV-3f2b_MW355397.1	cluster1
HEV-3f1a_MW355400.1	cluster1
HEV-3f2b_MF444081.1	cluster1
HEV-3f2b_MF444130.1	cluster1
HEV-3f2b_MW355241.1	cluster1
HEV-3f2b_MW355254.1	cluster1
HEV-3f2b_MW355380.1	cluster1
HEV-3f2b_MW355398.1	cluster1
HEV-3f2a_MK089847.1	cluster1
HEV-3f2b_MF444093.1	cluster1
HEV-3f2b_MW355308.1	cluster1
HEV-3f2b_MW355330.1	cluster1
HEV-3f2b_MW355346.1	cluster1
HEV-3e_MK089848.1	cluster1
HEV-3f2b_MF444129.1	cluster1
HEV-3f2b_MW355315.1	cluster1
HEV-3f2b_MW355324.1	cluster1
HEV-3f2b_MF444061.1	cluster1
HEV-3f2b_MF444039.1	cluster1
HEV-3f2b_MW355239.1	cluster1
HEV-3f2b_MF444100.1	cluster1
HEV-3f2b_MW355363.1	cluster1
HEV-3f2b_MW355350.1	cluster1
HEV-3f2b_MW355384.1	cluster1
HEV-3f2a_KU980235.1	cluster1
HEV-3f1a_JQ953666.1	cluster1
HEV-3f2b_MW355395.1	cluster1
HEV-3f2b_MW355240.1	cluster1
HEV-3f2b_MW355325.1	cluster1
HEV-3j_FJ956757.1	cluster1
HEV-3f1a_EU375463.1	cluster1
HEV-3e_JQ953665.1	cluster1
HEV-3f1a_MW355353.1	cluster1
HEV-3f2b_MW355392.1	cluster1
HEV-3f1a_MW355250.1	cluster1
HEV-3f2b_MF444040.1	cluster1
HEV-3f2b_MW355305.1	cluster1
HEV-3e_AB248521.1	cluster1
HEV-3e_AB248522.1	cluster1
HEV-3e_MH504140.1	cluster1
HEV-3e_MH504145.1	cluster1
HEV-3e_MH504146.1	cluster1
HEV-3f1a_AB291961.1	cluster1
HEV-3f1a_MW355343.1	cluster1
HEV-3e_AB481226.1	cluster1
HEV-3f1a_MW355223.1	cluster1
HEV-3f2b_MW355373.1	cluster1
HEV-3uc1_AB290313.1	cluster1
HEV-3e_MT840363.1	cluster1
HEV-3e_MH504144.1	cluster1
HEV-3e_MH504150.1	cluster1
HEV-3f1a_MW355366.1	cluster1
HEV-3e_MH504142.1	cluster1
HEV-3e_MH504152.1	cluster1
HEV-3f1a_KY232312.1	cluster1
HEV-3f1a_KY232313.1	cluster1
HEV-3e_MH504143.1	cluster1
HEV-3e_JQ013795.1	cluster1
HEV-3f1a_MH664124.2	cluster1
HEV-3e_MH504153.1	cluster1
HEV-3f2b_MN401237.1	cluster1
HEV-3f2a_OK429318.1	cluster1
HEV-3f2a_OK429319.1	cluster1
HEV-3f2b_MF444060.1	cluster1
HEV-3e_MH504139.1	cluster1
HEV-3e_OL658617.1	cluster1
HEV-3f1a_MF444028.1	cluster1
HEV-3f1a_MF444029.1	cluster1
HEV-3f1a_MH450020.1	cluster1
HEV-3f1a_MW355311.1	cluster1
HEV-3f2a_KT581445.1	cluster1
HEV-3e_MH504149.1	cluster1
HEV-3f2a_OK340740.1	cluster1
HEV-3f2a_KT581444.1	cluster1
HEV-3f1a_MN735217.1	cluster1
HEV-3e_MH504141.1	cluster1
HEV-3e_MH504148.1	cluster1
HEV-3f1a_OK340738.1	cluster1
HEV-3e_MF444086.1	cluster1
HEV-3e_MH184584.1	cluster1
HEV-3f1a_MH450023.1	cluster1
HEV-3f1a_MH450025.1	cluster1
HEV-3f1a_MH450029.1	cluster1
HEV-3f1a_MH450030.1	cluster1
HEV-3f2a_OK076715.1	cluster1
HEV-3f1a_AB369687.1	cluster1
HEV-3f2a_MH504147.1	cluster1
HEV-3f1a_FJ653660.1	cluster1
HEV-3f1a_MH504151.1	cluster1
HEV-3f1b_EU723512.2	cluster1
HEV-3f1a_MF444079.1	cluster1
HEV-3f1a_MH450027.1	cluster1
HEV-3f1a_MH450028.1	cluster1
HEV-3f1a_MH450031.1	cluster1
HEV-3f1a_MW355368.1	cluster1
HEV-3f1a_MW355396.1	cluster1
HEV-3f2a_KT581443.1	cluster1
HEV-3e_JQ026407.1	cluster1
HEV-3f1a_MH450024.1	cluster1
HEV-3f1a_MF444075.1	cluster1
HEV-3f1a_MF444101.1	cluster1
HEV-3f1a_MF444135.1	cluster1
HEV-3f1a_MF444091.1	cluster1
HEV-3f1a_MH450026.1	cluster1
HEV-3f1a_MW355361.1	cluster1
HEV-3f2b_MW355401.1	cluster1
HEV-3f2b_MF444126.1	cluster1
HEV-3f1a_MW355251.1	cluster1
HEV-3f1a_MW355237.1	cluster1
HEV-3f2a_KT581446.1	cluster1
HEV-3f1a_MW355389.1	cluster1
HEV-3f1a_LC406633.1	cluster1
HEV-3f1a_MF444032.1	cluster1
HEV-3e_KP698919.1	cluster1
HEV-3f1a_MW355243.1	cluster1
HEV-3f1a_MF444113.1	cluster1
HEV-3e_MF444109.1	cluster1
HEV-3f1b_EU723513.1	cluster1
HEV-3e_MT840367.1	cluster1
HEV-3e_HM055578.1	cluster1
HEV-3f1a_MF444052.1	cluster1
HEV-3e_MH184579.1	cluster1
HEV-3f2a_KT581447.1	cluster1
HEV-3f1a_MW355281.1	cluster1
HEV-3f2a_MW355369.1	cluster1
HEV-3f1a_MW355337.1	cluster1
HEV-3f1a_MW355333.1	cluster1
HEV-3f1a_MF444046.1	cluster1
HEV-3f1a_MW355354.1	cluster1
HEV-3f1a_MW355227.1	cluster1
HEV-3f1a_MW355244.1	cluster1
HEV-3f1a_MW355387.1	cluster1
HEV-3f1a_MF444116.1	cluster1
HEV-3f1a_MW355252.1	cluster1
HEV-3f1b_MW355290.1	cluster1
HEV-3f1a_MW355259.1	cluster1
HEV-3f1a_MW355258.1	cluster1
HEV-3e_MF444141.1	cluster1
HEV-3f1b_MW355344.1	cluster1
HEV-3f1b_MW355382.1	cluster1
HEV-3e_AB291958.1	cluster1
HEV-3f1a_MF444104.1	cluster1
HEV-3f1a_MW355404.1	cluster1
HEV-3f1a_MW355359.1	cluster1
HEV-3f2a_MW355319.1	cluster1
HEV-3f1a_MW355261.1	cluster1
HEV-3e_AB780452.1	cluster1
HEV-3f1a_MW355390.1	cluster1
HEV-3f1a_MW355393.1	cluster1
HEV-3f2a_KU747141.1	cluster1
HEV-3e_MH184583.1	cluster1
HEV-3e_MH184582.1	cluster1
HEV-3f2a_KU747142.1	cluster1
HEV-3e_MW355403.1	cluster1
HEV-3f2b_KJ873911.1	cluster1
HEV-3e_FJ998015.1	cluster1
HEV-3f1a_MF444067.1	cluster1
HEV-3f1a_MW355377.1	cluster1
HEV-3e_AB780453.1	cluster1
HEV-3f1a_MW355272.1	cluster1
HEV-3f2a_MF444080.1	cluster1
HEV-3f1a_MF444053.1	cluster1
HEV-3f1a_MF444144.1	cluster1
HEV-3f1a_MZ983635.1	cluster1
HEV-3e_AB780451.1	cluster1
HEV-3e_KF922359.1	cluster1
HEV-3f1a_MF444062.1	cluster1
HEV-3f1a_MF444118.1	cluster1
HEV-3f2b_MZ289130.1	cluster1
HEV-3f2b_MZ289146.1	cluster1
HEV-3f2b_MZ289086.1	cluster1
HEV-3f2b_MZ289078.1	cluster1
HEV-3f2b_MZ289107.1	cluster1
HEV-3f2b_MZ289123.1	cluster1
HEV-3f2b_MZ289077.1	cluster1
HEV-3f2b_MZ289088.1	cluster1
HEV-3f2b_MZ289098.1	cluster1
HEV-3f2b_MZ289108.1	cluster1
HEV-3f2b_MZ289109.1	cluster1
HEV-3f2b_MZ289111.1	cluster1
HEV-3f2b_MZ289116.1	cluster1
HEV-3f2b_MZ289118.1	cluster1
HEV-3f2b_MZ289141.1	cluster1
HEV-3f2b_MZ289142.1	cluster1
HEV-3f2b_MZ289145.1	cluster1
HEV-3f2b_MZ289148.1	cluster1
HEV-3f2b_MZ289080.1	cluster1
HEV-3f2b_MZ289087.1	cluster1
HEV-3f2b_MZ289099.1	cluster1
HEV-3f2b_MZ289102.1	cluster1
HEV-3f2b_MZ289106.1	cluster1
HEV-3f2b_MZ289126.1	cluster1
HEV-3f2b_MZ289129.1	cluster1
HEV-3f2b_MZ289132.1	cluster1
HEV-3f2b_MZ289140.1	cluster1
HEV-3f2b_MZ289143.1	cluster1
HEV-3f2b_MZ289147.1	cluster1
HEV-3e_AB780450.1	cluster1
HEV-3f1a_KT591532.1	cluster1
HEV-3f1a_KT591533.1	cluster1
HEV-3f2b_MZ289105.1	cluster1
HEV-3f2b_MZ289115.1	cluster1
HEV-3f2b_MZ289124.1	cluster1
HEV-3f2b_MZ289127.1	cluster1
HEV-3f2b_MZ289131.1	cluster1
HEV-3f2b_MZ289144.1	cluster1
HEV-3f2b_MZ289081.1	cluster1
HEV-3f2b_MZ289128.1	cluster1
HEV-3f2b_MZ289114.1	cluster1
HEV-3f2b_MZ289085.1	cluster1
HEV-3f2b_MZ289120.1	cluster1
HEV-3f2b_MZ289139.1	cluster1
HEV-3f2b_MZ289136.1	cluster1
HEV-3f2b_MZ289134.1	cluster1
HEV-3f2b_MZ289125.1	cluster1
HEV-3f2b_MZ289138.1	cluster1
HEV-3f1a_MZ289091.1	cluster1
HEV-3f1a_MZ289097.1	cluster1
HEV-3f1a_MZ289110.1	cluster1
HEV-3f1a_MZ289117.1	cluster1
HEV-3f1a_MZ289121.1	cluster1
HEV-3f2a_MZ289122.1	cluster1
HEV-3f1a_MZ289083.1	cluster1
HEV-3f1a_MZ289101.1	cluster1
HEV-3f1a_MZ289135.1	cluster1
HEV-3f1a_MZ289079.1	cluster1
HEV-3f1a_MZ289089.1	cluster1
HEV-3f1a_MZ289093.1	cluster1
HEV-3f1a_MZ289094.1	cluster1
HEV-3f1a_MZ289104.1	cluster1
HEV-3f1a_MZ289149.1	cluster1
HEV-3f1b_MZ289084.1	cluster1
HEV-3f1a_MZ289112.1	cluster1
HEV-3f1a_MZ289137.1	cluster1
HEV-1g_MZ289092.1	cluster1
HEV-3f2a_MT840365.1	cluster1
HEV-3f1b_MZ289095.1	cluster1
HEV-3f2b_KJ873912.1	cluster1
HEV-3f1a_MN614143.1	cluster1
HEV-2b_MH809516.1	cluster10
HEV-2a_M74506.1	cluster10
HEV-2a_KX578717.1	cluster10
HEV-2b_ON799233.1	cluster10
HEV-2b_ON799234.1	cluster10
HEV-2b_ON799235.1	cluster10
HEV-2b_ON799236.1	cluster10
HEV-2b_ON799238.1	cluster10
HEV-2b_ON799237.1	cluster10
HEV-3g_MG783571.1	cluster11
HEV-3g_MZ983634.1	cluster12
HEV-1a_AH006999.2	cluster13
HEV-3f1a_MN614142.1	cluster14
HEV-3c_MW355263.1	cluster2
HEV-3h1_MF444145.1	cluster2
HEV-3c_MW355332.1	cluster2
HEV-3m_MN646694.1	cluster2
HEV-3c_MH377723.1	cluster2
HEV-3c_MH377727.1	cluster2
HEV-3i_MH377721.1	cluster2
HEV-3c_MH377722.1	cluster2
HEV-3c_MF444085.1	cluster2
HEV-3uc2_KP294371.1	cluster2
HEV-3uc3_LR777863.1	cluster2
HEV-3uc3_LR777864.1	cluster2
HEV-3uc3_LR777866.1	cluster2
HEV-3c_MW837255.1	cluster2
HEV-3c_KT159771.1	cluster2
HEV-3c_MK089849.1	cluster2
HEV-3h1_MZ923536.1	cluster2
HEV-3h1_KY780957.1	cluster2
HEV-3h1_MF346772.1	cluster2
HEV-3h1_MF346773.1	cluster2
HEV-3h1_MF444110.1	cluster2
HEV-3h1_MG573193.1	cluster2
HEV-3h1_MW355307.1	cluster2
HEV-3c_MG783570.1	cluster2
HEV-3c_MW355345.1	cluster2
HEV-3h1_MZ923533.1	cluster2
HEV-3c_MW355267.1	cluster2
HEV-3l_JQ953664.1	cluster2
HEV-3c_FJ705359.1	cluster2
HEV-3c_KX172133.1	cluster2
HEV-3c_MG783569.1	cluster2
HEV-3c_MH504124.1	cluster2
HEV-3c_MH504129.1	cluster2
HEV-3c_MH504134.1	cluster2
HEV-3c_MH504135.1	cluster2
HEV-3c_MH504137.1	cluster2
HEV-3c_MH504138.1	cluster2
HEV-3h1_AB290312.1	cluster2
HEV-3c_MH504126.1	cluster2
HEV-3c_MW355287.1	cluster2
HEV-3h1_MF444077.1	cluster2
HEV-3m_MF444030.1	cluster2
HEV-3c_MW355262.1	cluster2
HEV-3c_MF444072.1	cluster2
HEV-3c_MW355217.1	cluster2
HEV-3c_MW355264.1	cluster2
HEV-3c_MN614141.1	cluster2
HEV-3c_MW355294.1	cluster2
HEV-3m_MW355236.1	cluster2
HEV-3uc3_LR777865.1	cluster2
HEV-3c_MH504128.1	cluster2
HEV-3c_MH504131.1	cluster2
HEV-3c_MW355341.1	cluster2
HEV-3c_MF444128.1	cluster2
HEV-3c_MW355226.1	cluster2
HEV-3c_MW355280.1	cluster2
HEV-3c_MF444043.1	cluster2
HEV-3c_MH504125.1	cluster2
HEV-3c_MH504133.1	cluster2
HEV-3c_MW355391.1	cluster2
HEV-3i_MW596896.1	cluster2
HEV-3uc4_MF959765.1	cluster2
HEV-3c_MW355334.1	cluster2
HEV-3m_MW355399.1	cluster2
HEV-3c_MW355297.1	cluster2
HEV-3c_MW355357.1	cluster2
HEV-3c_MW355378.1	cluster2
HEV-3c_MH450021.1	cluster2
HEV-3c_MW355323.1	cluster2
HEV-3c_MH504127.1	cluster2
HEV-3h1_MF444037.1	cluster2
HEV-3c_MF444042.1	cluster2
HEV-3h1_KU176131.1	cluster2
HEV-3c_MH504136.1	cluster2
HEV-3c_KX462160.1	cluster2
HEV-3c_MH504132.1	cluster2
HEV-3c_MN735215.1	cluster2
HEV-3c_MN735216.1	cluster2
HEV-3uc3_OK076716.1	cluster2
HEV-3h1_KU176132.1	cluster2
HEV-3c_MZ463196.1	cluster2
HEV-3c_KU176129.1	cluster2
HEV-3c_MT840359.1	cluster2
HEV-3uc6_MK390970.1	cluster2
HEV-3uc6_MK390971.1	cluster2
HEV-3uc6_OK340737.1	cluster2
HEV-3c_OK340742.1	cluster2
HEV-3c_MW355221.1	cluster2
HEV-3i_FJ998008.1	cluster2
HEV-3uc3_MF959764.1	cluster2
HEV-3c_MF444122.1	cluster2
HEV-3m_KU176130.1	cluster2
HEV-3c_MF444106.1	cluster2
HEV-3h1_MW355246.1	cluster2
HEV-3uc3_OK340741.1	cluster2
HEV-3c_MW355284.1	cluster2
HEV-3c_MW355374.1	cluster2
HEV-3h1_MF444120.1	cluster2
HEV-3c_MF444143.1	cluster2
HEV-3c_MW355367.1	cluster2
HEV-3c_MF444049.1	cluster2
HEV-3c_MW355232.1	cluster2
HEV-3c_MW355256.1	cluster2
HEV-3c_MF444111.1	cluster2
HEV-3c_MW355234.1	cluster2
HEV-3c_MW355365.1	cluster2
HEV-3c_MN614140.1	cluster2
HEV-3c_MW355220.1	cluster2
HEV-3c_MW355316.1	cluster2
HEV-3h1_MZ923557.1	cluster2
HEV-3c_MW355270.1	cluster2
HEV-3h1_MF444136.1	cluster2
HEV-3h1_JQ013794.1	cluster2
HEV-3c_MF444065.1	cluster2
HEV-3l_MW355275.1	cluster2
HEV-3c_MW355277.1	cluster2
HEV-3h1_MF444056.1	cluster2
HEV-3c_MW355314.1	cluster2
HEV-3c_MW355338.1	cluster2
HEV-3c_MF444115.1	cluster2
HEV-3c_MW355370.1	cluster2
HEV-3m_MF444089.1	cluster2
HEV-3c_MW355321.1	cluster2
HEV-3a_MW355298.1	cluster2
HEV-3c_MW355327.1	cluster2
HEV-3c_MW355278.1	cluster2
HEV-3c_MW355312.1	cluster2
HEV-3c_MW355347.1	cluster2
